Bpressure,deviceId,Ay,Ax,Gy,Gx,activity,My,Mx,Az,counter,Gz,Lilluminance,timestamp,Mz
,ccbc9d76c2ebeaf5,0.3017060160636902,-0.05782800167798996,-0.049480047076940536,-0.03955349326133728,2,-11.49375057220459,6.862500190734863,0.9598350524902344,7,-0.03283398225903511,386.0325012207031,2023-06-06 09:02:20,-3.543750047683716
949.4212646484375,ccbc9d76c2ebeaf5,0.3081720173358917,-0.058681998401880264,0.22105668485164642,0.20952661335468292,2,,,0.9304329752922058,0,-0.08781181275844574,,2023-06-06 09:02:21,
949.427490234375,ccbc9d76c2ebeaf5,0.35996100306510925,-0.12157300114631653,-0.037262752652168274,-0.005192350596189499,2,-10.762500762939453,6.825000286102295,0.9307380318641663,1,0.019929463043808937,380.0250244140625,2023-06-06 09:02:21,-2.1000001430511475
949.428466796875,ccbc9d76c2ebeaf5,0.4030269980430603,-0.17927899956703186,-0.1404225379228592,-0.013362666592001915,2,-9.862500190734863,7.031250476837158,0.8668100237846375,2,0.3597993552684784,373.0050048828125,2023-06-06 09:02:21,-1.0875000953674316
,ccbc9d76c2ebeaf5,0.35319000482559204,-0.08326499909162521,,,2,-8.943750381469727,7.050000190734863,0.9365940093994141,3,,,2023-06-06 09:02:21,-0.15000000596046448
949.4267578125,ccbc9d76c2ebeaf5,0.33226698637008667,-0.06551399827003479,0.15645773708820343,-0.1326340138912201,2,,,0.8979810476303101,4,0.2049451321363449,382.9950256347656,2023-06-06 09:02:21,
,ccbc9d76c2ebeaf5,0.3088430166244507,-0.01701899990439415,,,2,-8.362500190734863,6.918750286102295,0.9028609991073608,5,,,2023-06-06 09:02:21,0.768750011920929
949.43115234375,ccbc9d76c2ebeaf5,0.3239710032939911,-0.0287919994443655,0.47502371668815613,0.3087157905101776,2,,,0.8651630282402039,6,-0.4376846253871918,385.02001953125,2023-06-06 09:02:21,
949.430419921875,ccbc9d76c2ebeaf5,0.32000601291656494,-0.03458699956536293,,,2,-7.762500286102295,6.862500190734863,0.8635770082473755,0,,379.01251220703125,2023-06-06 09:02:22,2.6437501907348633
,ccbc9d76c2ebeaf5,0.34977400302886963,-0.08271600306034088,,,2,,,0.9343369603157043,0,,352.01251220703125,2023-06-06 09:12:35,
,ccbc9d76c2ebeaf5,0.2853580117225647,-0.01183400023728609,-0.06360629200935364,0.029397867619991302,2,-17.193750381469727,7.031250476837158,0.9639830589294434,1,0.24060437083244324,,2023-06-06 09:12:35,13.875000953674316
943.9927978515625,ccbc9d76c2ebeaf5,0.33897697925567627,-0.03995500132441521,0.093691386282444,0.11453714966773987,2,-20.45625114440918,6.468750476837158,0.9789890646934509,2,0.07269290834665298,,2023-06-06 09:12:35,15.15000057220459
,ccbc9d76c2ebeaf5,0.3483099937438965,-0.058316003531217575,0.04940368980169296,0.05429060757160187,2,-22.293750762939453,6.187500476837158,0.8339309692382812,3,0.14088068902492523,349.9875183105469,2023-06-06 09:12:35,16.650001525878906
943.9915771484375,ccbc9d76c2ebeaf5,0.36032700538635254,-0.02281400002539158,,,2,,,0.8974319696426392,0,,346.0050048828125,2023-06-06 09:12:36,
